epoch,accuracy,auc,f1_score,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
29,0.7340212464,0.9534549713,0.6863235235,0.0005000000237,0.8237723708,0.8290974498,0.623519659,0.6484932899,0.9180178046,0.5855010748,1.163623691,0.7259551883,0.5758578777
30,0.7358934283,0.9542071223,0.6856254935,0.0005000000237,0.8206907511,0.8293703198,0.6302246451,0.6530221105,0.9183288217,0.5839883685,1.166828156,0.7219926119,0.5781222582
31,0.7446011901,0.9577951431,0.6938070059,0.0002500000119,0.7964249849,0.8353481889,0.6408045888,0.6572026014,0.91820544,0.5869501233,1.174070239,0.7202572227,0.5852639079
32,0.7519156933,0.9596185088,0.7029877305,0.0002500000119,0.7848846316,0.8416694999,0.6506008506,0.6577251554,0.9172351956,0.5905214548,1.175053239,0.7269814014,0.5927538872
33,0.7579240799,0.9609439969,0.712372005,0.0002500000119,0.7720097303,0.8416973352,0.6572187543,0.6521511674,0.9149137735,0.5852906704,1.186270952,0.7187632322,0.5911862254
34,0.7594914436,0.9620321989,0.7118423581,0.0002500000119,0.7649481893,0.8451445103,0.6646203399,0.6563316584,0.9156147242,0.5898133516,1.185093522,0.7233771682,0.5939731598
35,0.7597962618,0.961958468,0.7082454562,0.0002500000119,0.7646051645,0.8461538553,0.6657088399,0.6605120897,0.9166497588,0.5937303901,1.195079923,0.7206738591,0.6035534143
36,0.7629745603,0.962825954,0.7156205177,0.0002500000119,0.7591950893,0.847237587,0.6676680446,0.6594669819,0.9144574404,0.5975932479,1.202765346,0.7226415277,0.6004180312
37,0.7665447593,0.9636252522,0.7220921516,0.0002500000119,0.7508671284,0.8491085172,0.6718042493,0.6540672183,0.9130144715,0.5832315087,1.199888229,0.714255631,0.5908378363
38,0.77773422,0.9660904408,0.7268559337,0.0001250000059,0.7349277139,0.8570418358,0.685954392,0.6568542123,0.9158412218,0.5912407637,1.190242052,0.7213389277,0.6005922556
39,0.7740334272,0.9667201042,0.7260161638,0.0001250000059,0.7287868857,0.8568321466,0.6860849857,0.6542414427,0.913864255,0.5847674012,1.200745225,0.7170203924,0.6002438664
40,0.7775600553,0.966930151,0.7268768549,0.0001250000059,0.7276672721,0.8542892337,0.6889585257,0.6638216376,0.9153031111,0.5948052406,1.201027632,0.7209205627,0.60564363
