epoch,accuracy,auc,f1_score,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.4539494812,0.8159331083,0.3703764975,0.001000000047,1.434603691,0.6954426765,0.2019107789,0.518202424,0.8613417149,0.3972094953,1.394522071,0.6723790169,0.3485455513
1,0.5161529183,0.8554679155,0.4344381392,0.001000000047,1.30171895,0.7399827242,0.2613200843,0.5248214602,0.8689078689,0.4279080331,1.357153654,0.6838926077,0.3549904227
2,0.5394461751,0.8707214594,0.4628123045,0.001000000047,1.244018674,0.7526951432,0.3039881587,0.5561748743,0.8884348869,0.453841269,1.285632014,0.6897346973,0.416652143
3,0.5570794344,0.878916502,0.4793329835,0.001000000047,1.212635279,0.7573093772,0.3338122666,0.5690646172,0.8836986423,0.5002586246,1.306813478,0.7002071738,0.4121233225
4,0.5668756366,0.8853577375,0.4959942102,0.001000000047,1.186905146,0.7520770431,0.346830368,0.5946699381,0.8974450231,0.5162540674,1.238468528,0.7393506169,0.43232885
5,0.5798066854,0.8905441761,0.5120818019,0.001000000047,1.161012888,0.7606215477,0.3686868548,0.6039017439,0.9052484035,0.5265265703,1.190549016,0.7588126063,0.4274516702
6,0.5850749016,0.8946374059,0.5165020823,0.001000000047,1.144252539,0.759847939,0.3829676211,0.6096498966,0.9093050361,0.5238662958,1.172847152,0.7569383383,0.451315105
7,0.5965691209,0.8996195197,0.5312107205,0.001000000047,1.120636582,0.7653112411,0.3982497454,0.5979794264,0.9018996358,0.5168721676,1.23266232,0.7123150229,0.4946873486
8,0.6061912179,0.9040247798,0.5405819416,0.001000000047,1.105619073,0.7702789903,0.4159265161,0.613830328,0.9086945057,0.5403611064,1.189468741,0.7286924124,0.4795331955
9,0.5839864016,0.8950321078,0.5171055198,0.001000000047,1.145647526,0.7578347325,0.3821839094,0.6030308604,0.9021595716,0.5166379213,1.206178546,0.7665056586,0.4145619273
10,0.599703908,0.9012308121,0.5317231417,0.001000000047,1.11940968,0.7690073252,0.4033873081,0.6178365946,0.9106348157,0.5373933911,1.179457307,0.7321848273,0.4885908365
11,0.6041013598,0.9039022923,0.5386889577,0.001000000047,1.104850173,0.7651647925,0.4184952974,0.6153979897,0.9088404775,0.5298701525,1.18886435,0.7224071622,0.4913778007
12,0.6122866869,0.9073973894,0.5484262705,0.001000000047,1.087588549,0.7686930299,0.426114589,0.6023340821,0.9050236344,0.5349406004,1.207469463,0.7176439762,0.4732624888
13,0.621473372,0.9103703499,0.5580294728,0.001000000047,1.071510792,0.772890985,0.4391762316,0.6087789536,0.9052872062,0.5250737667,1.196935534,0.7196056843,0.4577599764
14,0.629963398,0.9137448668,0.5682539344,0.001000000047,1.057234406,0.7783103585,0.4524555802,0.6305521727,0.9158379436,0.5577207208,1.148683906,0.7449629903,0.5087963939
15,0.6365377903,0.9183381796,0.5784475803,0.001000000047,1.035354018,0.7828268409,0.4687826633,0.6329907775,0.915383935,0.570035696,1.153678894,0.7322363257,0.5115833282
16,0.644592464,0.9208650589,0.5833660364,0.001000000047,1.023033023,0.7827789783,0.4785353541,0.6239331365,0.9142943025,0.5636740923,1.155101895,0.7298879623,0.4993903637
17,0.6469000578,0.9232580662,0.5873048306,0.001000000047,1.008449435,0.7850256562,0.4857192636,0.6359519362,0.9148450494,0.5490861535,1.16289413,0.7249097228,0.5246472955
18,0.6530825496,0.9244340658,0.5907076597,0.001000000047,1.001900196,0.7915074229,0.4958638251,0.6248040199,0.9110689163,0.5564555526,1.169272542,0.7461316586,0.4955582619
19,0.6604406238,0.9281330109,0.6021596193,0.001000000047,0.9840932488,0.7931034565,0.5097091794,0.6049468517,0.907685101,0.5265678167,1.205136538,0.7075030804,0.5009580255
20,0.6661441922,0.929278791,0.610781014,0.001000000047,0.9730919003,0.7947615981,0.5152385831,0.6359519362,0.9161782265,0.5627651215,1.167055845,0.7226968408,0.5452011824
21,0.6710205674,0.9325283766,0.6196208596,0.001000000047,0.9584785104,0.7976821065,0.5244252682,0.6415258646,0.9154143333,0.5660449862,1.154987693,0.7424425483,0.5347500443
22,0.6825147867,0.9347040057,0.6294608116,0.001000000047,0.9442778826,0.8020537496,0.5407088399,0.6307263374,0.9137864113,0.5510655642,1.171567917,0.7269085646,0.5373628139
23,0.6985806227,0.9411703348,0.6445574164,0.0005000000237,0.9058974981,0.8093075156,0.5663532019,0.6519770026,0.9190701842,0.5779280663,1.146829844,0.7399587035,0.5615746379
24,0.7043712735,0.9446917176,0.6516888738,0.0005000000237,0.8850066066,0.8148604631,0.5758446455,0.6488416791,0.9190587401,0.5781664252,1.149321079,0.7385591269,0.5678453445
25,0.713688612,0.9471880198,0.6648985744,0.0005000000237,0.8675582409,0.8204302192,0.5878178477,0.6392614245,0.9160903692,0.5736498237,1.168192983,0.7137505412,0.5641874075
26,0.7199146748,0.949514389,0.6678097844,0.0005000000237,0.8534832001,0.8227697611,0.6019244194,0.6537188888,0.9173227549,0.5840462446,1.178839445,0.7222582698,0.5816059709
27,0.7220916152,0.9496086836,0.6699125171,0.0005000000237,0.8509717584,0.8263576031,0.6068878174,0.6518028378,0.921310544,0.5937616229,1.148698568,0.7301832438,0.5760320425
28,0.729362607,0.9517553449,0.6810868979,0.0005000000237,0.8353834748,0.8286684752,0.6161616445,0.6439644694,0.9112169147,0.5776966214,1.214450002,0.7106337547,0.5762062073
